Site Name,Pollution Board,City,Latitude,Longitude,Zone Type
ECIL Kapra,TSPCB,Hyderabad,17.470358,78.566894,Residential
Nacharam  IALA ,TSPCB,Hyderabad,17.429348,78.569297,Traffic
Louis Braille Malakpet,TSPCB,Hyderabad,17.372073,78.50866,Traffic
Khairthabad RTO office,TSPCB,Hyderabad,17.417116,78.457475,Traffic
Kompally ,TSPCB,Hyderabad,17.544866,78.487001,Residential
Kokapet Community Hall,TSPCB,Hyderabad,17.393563,78.339247,Residential
Symphony Park RC Puram,TSPCB,Hyderabad,17.528552,78.286225,Residential
IIT Hyderabad ,TSPCB,Hyderabad,17.58567,78.126225,Green
IDA Pashamylaram,TSPCB,Hyderabad,17.527465,78.176807,Industrial
Bollaram Industrial Area,TSPCB,Hyderabad,17.540891,78.358528,Industrial
ICRISAT Patancheru,TSPCB,Hyderabad,17.514423,78.274611,Industrial
Hyderabad Central University (HCU),TSPCB,Hyderabad,17.460103,78.334361,Green
Sanathnagar,TSPCB,Hyderabad,17.457121,78.443493,Industrial
ZOO Park,TSPCB,Hyderabad,17.349694,78.451437,Green
